transaction_id,client_id,transaction_date,transaction_type,transaction_amount,currency,origin_country,destination_country,channel,purpose_code,counterparty_name,counterparty_type,is_flagged,flag_reason,created_at
C00001_T0001,C00001,2025-05-15,Deposit,115.06,USD,Malta,Switzerland,Mobile App,Loan,Michael Johnson,Government,False,-,2025-07-27 16:13:18
C00001_T0002,C00001,2025-05-16,Transfer,920.83,USD,Iceland,Ireland,Mobile App,Loan,John Smith,Business,False,-,2025-07-27 16:13:18
C00001_T0003,C00001,2025-05-17,Withdrawal,1612.4,USD,United Kingdom,Cyprus,Mobile App,Business Expense,Jane Doe,Unknown,False,-,2025-07-27 16:13:18
C00001_T0004,C00001,2025-05-18,Payment,942.75,USD,Denmark,Germany,Online,Commission,Jane Doe,Individual,False,-,2025-07-27 16:13:18
C00001_T0005,C00001,2025-05-19,Payment,197.97,USD,Switzerland,Spain,API,Loan,Jane Doe,Business,False,Large volume,2025-07-27 16:13:18
C00001_T0006,C00001,2025-05-20,Deposit,789.62,USD,Lithuania,Poland,Mobile App,Salary,Michael Johnson,Government,False,-,2025-07-27 16:13:18
C00001_T0007,C00001,2025-05-21,Withdrawal,1799.47,USD,Romania,Czech Republic,Branch,Business Expense,Chris Lee,Individual,False,Large volume,2025-07-27 16:13:18
C00001_T0008,C00001,2025-05-22,Investment,360.19,USD,Portugal,Romania,Mobile App,Commission,Michael Johnson,Business,False,Large volume,2025-07-27 16:13:18
C00001_T0009,C00001,2025-05-23,Withdrawal,1785.75,USD,Poland,Bulgaria,Mobile App,Commission,John Smith,Unknown,False,-,2025-07-27 16:13:18
C00001_T0010,C00001,2025-05-24,Withdrawal,1533.71,USD,Denmark,Italy,API,Investment,Jane Doe,Government,False,-,2025-07-27 16:13:18
C00001_T0011,C00001,2025-05-25,Investment,21.96,USD,Poland,Germany,Branch,Crypto Settlement,Michael Johnson,Government,False,-,2025-07-27 16:13:18
C00001_T0012,C00001,2025-05-26,Investment,273.43,USD,France,Netherlands,Branch,Salary,Jane Doe,Business,False,-,2025-07-27 16:13:18
C00001_T0013,C00001,2025-05-27,Withdrawal,782.1,USD,Hungary,Czech Republic,Online,Crypto Settlement,John Smith,Government,True,-,2025-07-27 16:13:18
C00001_T0014,C00001,2025-05-28,Transfer,1263.13,USD,Norway,Germany,Branch,Business Expense,Alice Brown,Individual,False,-,2025-07-27 16:13:18
C00001_T0015,C00001,2025-05-29,Transfer,2122.41,USD,Netherlands,Netherlands,Branch,Business Expense,Alice Brown,Business,False,-,2025-07-27 16:13:18
C00001_T0016,C00001,2025-05-30,Withdrawal,1023.45,USD,Greece,Belgium,Branch,Salary,Alice Brown,Individual,True,Large volume,2025-07-27 16:13:18
C00001_T0017,C00001,2025-05-31,Transfer,478.08,USD,Ireland,Austria,Mobile App,Commission,Jane Doe,Government,False,-,2025-07-27 16:13:18
C00001_T0018,C00001,2025-06-01,Investment,203.89,USD,Sweden,Ireland,Online,Loan,Michael Johnson,Government,True,-,2025-07-27 16:13:18
C00001_T0019,C00001,2025-06-02,Investment,1425.73,USD,Latvia,Finland,Branch,Salary,Jane Doe,Government,False,-,2025-07-27 16:13:18
C00001_T0020,C00001,2025-06-03,Transfer,231.41,USD,Ireland,Denmark,Branch,Business Expense,Chris Lee,Individual,False,-,2025-07-27 16:13:18
C00001_T0021,C00001,2025-06-04,Investment,1187.58,USD,Croatia,Romania,Branch,Crypto Settlement,Michael Johnson,Government,False,-,2025-07-27 16:13:18
C00001_T0022,C00001,2025-06-05,Payment,199.71,USD,Estonia,Romania,Mobile App,Salary,John Smith,Business,False,-,2025-07-27 16:13:18
C00001_T0023,C00001,2025-06-06,Investment,95.37,USD,Estonia,Czech Republic,Mobile App,Commission,Alice Brown,Unknown,False,-,2025-07-27 16:13:18
C00001_T0024,C00001,2025-06-07,Withdrawal,288.84,USD,Bulgaria,Luxembourg,Online,Investment,Michael Johnson,Business,False,-,2025-07-27 16:13:18
C00001_T0025,C00001,2025-06-08,Deposit,335.01,USD,Germany,Romania,API,Investment,Michael Johnson,Unknown,False,-,2025-07-27 16:13:18
C00001_T0026,C00001,2025-06-09,Transfer,1040.76,USD,Austria,Czech Republic,Online,Loan,Alice Brown,Government,False,-,2025-07-27 16:13:18
C00001_T0027,C00001,2025-06-10,Transfer,175.22,USD,Luxembourg,Italy,Mobile App,Loan,John Smith,Business,False,Large volume,2025-07-27 16:13:18
C00001_T0028,C00001,2025-06-11,Investment,2660.79,USD,Lithuania,Slovakia,Branch,Commission,Jane Doe,Individual,False,-,2025-07-27 16:13:18
C00001_T0029,C00001,2025-06-12,Investment,807.38,USD,Estonia,Romania,Branch,Crypto Settlement,Jane Doe,Unknown,True,-,2025-07-27 16:13:18
